iter	Passed	Remaining
0	328	460266
1	504	352320
2	693	323002
3	876	305800
4	1056	294842
5	1241	288404
6	1423	283373
7	1616	281240
8	1806	279152
9	1978	275042
10	2167	273692
11	2361	273182
12	2571	274312
13	2750	272294
14	2943	271824
15	3126	270431
16	3298	268381
17	3508	269395
18	3693	268472
19	3878	267650
20	4071	267349
21	4256	266634
22	4430	265231
23	4580	262633
24	4748	261173
25	4931	260593
26	5110	259897
27	5296	259541
28	5470	258625
29	5654	258243
30	5846	258184
31	6016	257185
32	6193	256556
33	6366	255799
34	6534	254851
35	6718	254562
36	6861	252755
37	7039	252302
38	7235	252484
39	7389	251247
40	7577	251150
41	7763	251022
42	7924	250074
43	8088	249285
44	8284	249467
45	8457	248934
46	8633	248537
47	8810	248162
48	9002	248198
49	9171	247642
50	9351	247369
51	9510	246530
52	9705	246673
53	9881	246302
54	10052	245833
55	10232	245584
56	10412	245343
57	10588	244991
58	10769	244788
59	10956	244700
60	11112	243932
61	11282	243477
62	11467	243359
63	11648	243161
64	11842	243220
65	12027	243092
66	12208	242901
67	12400	242909
68	12580	242666
69	12765	242541
70	12934	242103
71	13124	242072
72	13295	241682
73	13470	241369
74	13674	241575
75	13872	241665
76	14056	241516
77	14241	241369
78	14422	241165
79	14615	241158
80	14825	241423
81	15013	241309
82	15185	240958
83	15346	240423
84	15510	239955
85	15706	239981
86	15889	239803
87	16063	239491
88	16207	238744
89	16402	238740
90	16563	238253
91	16754	238202
92	16934	237992
93	17089	237434
94	17257	237057
95	17458	237142
96	17631	236841
97	17820	236752
98	18031	236954
99	18209	236719
100	18375	236334
101	18569	236304
102	18759	236222
103	18941	236038
104	19099	235564
105	19259	235106
106	19437	234885
107	19614	234648
108	19806	234590
109	19977	234275
110	20166	234180
111	20329	233788
112	20505	233549
113	20680	233295
114	20864	233143
115	21027	232748
116	21200	232480
117	21354	232002
118	21552	232001
119	21721	231698
120	21895	231442
121	22072	231216
122	22256	231065
123	22427	230787
124	22602	230549
125	22775	230286
126	22952	230068
127	23113	229685
128	23308	229650
129	23499	229576
130	23660	229195
131	23850	229110
132	24029	228912
133	24195	228595
134	24397	228609
135	24588	228531
136	24757	228238
137	24971	228363
138	25150	228166
139	25333	228001
140	25514	227819
141	25702	227706
142	25861	227327
143	26039	227126
144	26227	227004
145	26407	226811
146	26601	226744
147	26807	226779
148	26995	226650
149	27205	226710
150	27401	226652
151	27558	226268
152	27753	226203
153	27939	226056
154	28112	225805
155	28287	225575
156	28466	225377
157	28640	225137
158	28831	225026
159	29008	224813
160	29191	224646
161	29367	224426
162	29563	224354
163	29749	224211
164	29917	223929
165	30083	223632
166	30251	223354
167	30454	223334
168	30653	223278
169	30822	223008
170	30996	222776
171	31194	222715
172	31382	222583
173	31577	222497
174	31749	222244
175	31933	222081
176	32104	221826
177	32290	221683
178	32482	221572
179	32658	221352
180	32824	221067
181	33036	221087
182	33191	220730
183	33388	220651
184	33571	220481
185	33748	220274
186	33935	220125
187	34118	219958
188	34286	219688
189	34469	219516
190	34660	219392
191	34859	219324
192	35042	219152
193	35248	219122
194	35443	219019
195	35643	218949
196	35827	218781
197	36021	218673
198	36192	218425
199	36363	218181
200	36523	217870
201	36718	217763
202	36898	217574
203	37070	217332
204	37245	217114
205	37427	216932
206	37615	216789
207	37838	216843
208	38028	216705
209	38201	216474
210	38386	216312
211	38575	216166
212	38758	215993
213	38941	215815
214	39148	215772
215	39314	215500
216	39490	215288
217	39651	214989
218	39843	214865
219	40029	214702
220	40210	214514
221	40407	214414
222	40600	214289
223	40809	214250
224	40981	214016
225	41157	213798
226	41345	213650
227	41533	213497
228	41710	213287
229	41878	213032
230	42074	212923
231	42267	212796
232	42457	212650
233	42635	212446
234	42821	212285
235	43011	212142
236	43163	211812
237	43344	211623
238	43515	211387
239	43712	211275
240	43886	211053
241	44057	210822
242	44251	210694
243	44425	210474
244	44618	210342
245	44805	210186
246	45027	210187
247	45214	210030
248	45387	209805
249	45581	209674
250	45767	209509
251	45948	209319
252	46127	209125
253	46331	209038
254	46510	208840
255	46692	208655
256	46870	208453
257	47057	208291
258	47234	208085
259	47423	207934
260	47641	207908
261	47856	207864
262	48061	207777
263	48277	207740
264	48497	207715
265	48715	207683
266	48934	207651
267	49153	207619
268	49358	207525
269	49549	207373
270	49712	207106
271	49887	206887
272	50056	206643
273	50254	206521
274	50429	206301
275	50627	206178
276	50836	206097
277	50991	205799
278	51166	205582
279	51328	205315
280	51506	205109
281	51683	204901
282	51860	204692
283	52058	204568
284	52235	204358
285	52410	204143
286	52585	203928
287	52786	203815
288	52967	203622
289	53151	203441
290	53347	203307
291	53520	203085
292	53713	202936
293	53902	202776
294	54073	202546
295	54290	202488
296	54453	202228
297	54614	201965
298	54791	201758
299	54977	201583
300	55145	201343
301	55330	201168
302	55517	200999
303	55734	200936
304	55892	200663
305	56089	200530
306	56279	200370
307	56472	200220
308	56690	200160
309	56893	200046
310	57130	200048
311	57328	199916
312	57508	199718
313	57713	199608
314	57914	199481
315	58127	199398
316	58336	199302
317	58535	199166
318	58729	199016
319	58931	198893
320	59127	198750
321	59338	198654
322	59568	198621
323	59758	198455
324	59960	198331
325	60171	198234
326	60365	198081
327	60606	198079
328	60839	198050
329	61074	198028
330	61288	197937
331	61510	197870
332	61734	197811
333	61943	197701
334	62132	197524
335	62347	197432
336	62547	197293
337	62769	197223
338	62966	197070
339	63166	196931
340	63363	196781
341	63576	196679
342	63763	196494
343	63955	196328
344	64142	196147
345	64313	195913
346	64502	195736
347	64678	195523
348	64846	195281
349	65017	195053
350	65196	194845
351	65364	194607
352	65555	194438
353	65747	194270
354	65916	194034
355	66084	193797
356	66272	193620
357	66458	193435
358	66646	193255
359	66829	193062
360	67005	192850
361	67213	192729
362	67398	192539
363	67608	192423
364	67809	192282
365	68010	192138
366	68187	191927
367	68366	191724
368	68544	191514
369	68715	191288
370	68892	191078
371	69086	190917
372	69294	190790
373	69499	190658
374	69667	190424
375	69837	190196
376	69990	189921
377	70155	189680
378	70349	189516
379	70536	189335
380	70710	189118
381	70882	188896
382	71070	188716
383	71265	188555
